id,version,location,area,method,species,pokemon,level,chance,conditions,note
141,red,cerulean-cave,2f,walk,rhydon,rhydon,52,10,,
146,red,cerulean-cave,2f,walk,wigglytuff,wigglytuff,54,5,,
151,red,cerulean-cave,2f,walk,chansey,chansey,56,5,,
156,red,cerulean-cave,2f,walk,ditto,ditto,55-60,5,,
161,red,cerulean-cave,2f,old-rod,magikarp,magikarp,5,100,,
166,red,cerulean-cave,2f,good-rod,poliwag,poliwag,10,50,,
171,red,cerulean-cave,2f,good-rod,goldeen,goldeen,10,50,,
176,red,cerulean-cave,2f,super-rod,slowbro,slowbro,23,25,,
181,red,cerulean-cave,2f,super-rod,kingler,kingler,23,25,,
186,red,cerulean-cave,2f,super-rod,seadra,seadra,23,25,,
191,red,cerulean-cave,2f,super-rod,seaking,seaking,23,25,,
196,red,cerulean-cave,b1f,walk,marowak,marowak,55,20,,
201,red,cerulean-cave,b1f,walk,rhydon,rhydon,55,20,,
206,red,cerulean-cave,b1f,walk,electrode,electrode,55,15,,
211,red,cerulean-cave,b1f,walk,raichu,raichu,64,10,,
216,red,cerulean-cave,b1f,walk,parasect,parasect,64,10,,
221,red,cerulean-cave,b1f,walk,chansey,chansey,64,10,,
226,red,cerulean-cave,b1f,walk,ditto,ditto,63-67,10,,
231,red,cerulean-cave,b1f,walk,arbok,arbok,57,5,,
236,red,cerulean-cave,b1f,old-rod,magikarp,magikarp,5,100,,
241,red,cerulean-cave,b1f,good-rod,poliwag,poliwag,10,50,,
246,red,cerulean-cave,b1f,good-rod,goldeen,goldeen,10,50,,
251,red,cerulean-cave,b1f,super-rod,slowbro,slowbro,23,25,,
256,red,cerulean-cave,b1f,super-rod,kingler,kingler,23,25,,
261,red,cerulean-cave,b1f,super-rod,seadra,seadra,23,25,,
266,red,cerulean-cave,b1f,super-rod,seaking,seaking,23,25,,
271,red,cerulean-city,gym,old-rod,magikarp,magikarp,5,100,,
276,red,cerulean-city,gym,good-rod,poliwag,poliwag,10,50,,
281,red,cerulean-city,gym,good-rod,goldeen,goldeen,10,50,,
286,red,cerulean-city,gym,super-rod,psyduck,psyduck,15,33,,
291,red,cerulean-city,gym,super-rod,krabby,krabby,15,33,,
296,red,cerulean-city,gym,super-rod,goldeen,goldeen,15,33,,
301,red,cerulean-city,whole-area,old-rod,magikarp,magikarp,5,100,,
306,red,cerulean-city,whole-area,good-rod,poliwag,poliwag,10,50,,
311,red,cerulean-city,whole-area,good-rod,goldeen,goldeen,10,50,,
316,red,cerulean-city,whole-area,super-rod,psyduck,psyduck,15,33,,
321,red,cerulean-city,whole-area,super-rod,krabby,krabby,15,33,,
326,red,cerulean-city,whole-area,super-rod,goldeen,goldeen,15,33,,
331,red,cinnabar-island,whole-area,old-rod,magikarp,magikarp,5,100,,
336,red,cinnabar-island,whole-area,good-rod,poliwag,poliwag,10,50,,
341,red,cinnabar-island,whole-area,good-rod,goldeen,goldeen,10,50,,
346,red,cinnabar-island,whole-area,super-rod,shellder,shellder,15,25,,
351,red,cinnabar-island,whole-area,super-rod,horsea,horsea,15,25,,
356,red,cinnabar-island,whole-area,super-rod,goldeen,goldeen,15,25,,
361,red,cinnabar-island,whole-area,super-rod,staryu,staryu,15,25,,
366,red,digletts-cave,underground,walk,diglett,diglett,15-22,95,,
371,red,digletts-cave,underground,walk,dugtrio,dugtrio,29-31,5,,
376,red,fuchsia-city,whole-area,old-rod,magikarp,magikarp,5,100,,
381,red,fuchsia-city,whole-area,good-rod,poliwag,poliwag,10,50,,
386,red,fuchsia-city,whole-area,good-rod,goldeen,goldeen,10,50,,
391,red,fuchsia-city,whole-area,super-rod,krabby,krabby,15,25,,
396,red,fuchsia-city,whole-area,super-rod,goldeen,goldeen,15,25,,
401,red,fuchsia-city,whole-area,super-rod,seaking,seaking,23,25,,
406,red,fuchsia-city,whole-area,super-rod,magikarp,magikarp,15,25,,
411,red,kanto-route-1,whole-area,walk,pidgey,pidgey,2-5,50,,
416,red,kanto-route-1,whole-area,walk,rattata,rattata,2-4,50,,
421,red,kanto-route-2,whole-area,walk,pidgey,pidgey,3-5,45,,
426,red,kanto-route-2,whole-area,walk,rattata,rattata,2-5,40,,
431,red,kanto-route-2,whole-area,walk,weedle,weedle,3-5,15,,
436,red,kanto-route-3,whole-area,walk,pidgey,pidgey,6-8,45,,
441,red,kanto-route-3,whole-area,walk,spearow,spearow,5-8,45,,
446,red,kanto-route-3,whole-area,walk,jigglypuff,jigglypuff,3-7,10,,
451,red,kanto-route-4,pokemon-center,gift,magikarp,magikarp,5,,,
456,red,kanto-route-4,whole-area,walk,rattata,rattata,8-12,40,,
461,red,kanto-route-4,whole-area,walk,spearow,spearow,8-12,35,,
466,red,kanto-route-4,whole-area,walk,ekans,ekans,6-12,25,,
471,red,kanto-route-4,whole-area,old-rod,magikarp,magikarp,5,100,,
476,red,kanto-route-4,whole-area,good-rod,poliwag,poliwag,10,50,,
481,red,kanto-route-4,whole-area,good-rod,goldeen,goldeen,10,50,,
486,red,kanto-route-4,whole-area,super-rod,psyduck,psyduck,15,33,,
491,red,kanto-route-4,whole-area,super-rod,krabby,krabby,15,33,,
496,red,kanto-route-4,whole-area,super-rod,goldeen,goldeen,15,33,,
501,red,kanto-route-5,whole-area,walk,pidgey,pidgey,13-16,40,,
506,red,kanto-route-5,whole-area,walk,oddish,oddish,13-16,35,,
511,red,kanto-route-5,whole-area,walk,mankey,mankey,10-16,25,,
516,red,kanto-route-6,whole-area,walk,pidgey,pidgey,13-16,40,,
521,red,kanto-route-6,whole-area,walk,oddish,oddish,13-16,35,,
526,red,kanto-route-6,whole-area,walk,mankey,mankey,10-16,25,,
531,red,kanto-route-6,whole-area,old-rod,magikarp,magikarp,5,100,,
536,red,kanto-route-6,whole-area,good-rod,poliwag,poliwag,10,50,,
541,red,kanto-route-6,whole-area,good-rod,goldeen,goldeen,10,50,,
546,red,kanto-route-6,whole-area,super-rod,shellder,shellder,15,50,,
551,red,kanto-route-6,whole-area,super-rod,krabby,krabby,15,50,,
556,red,kanto-route-7,whole-area,walk,pidgey,pidgey,19-22,30,,
561,red,kanto-route-7,whole-area,walk,oddish,oddish,19-22,30,,
566,red,kanto-route-7,whole-area,walk,mankey,mankey,17-20,30,,
571,red,kanto-route-7,whole-area,walk,growlithe,growlithe,18-20,10,,
576,red,kanto-route-8,whole-area,walk,pidgey,pidgey,18-20,30,,
581,red,kanto-route-8,whole-area,walk,mankey,mankey,18-20,30,,
586,red,kanto-route-8,whole-area,walk,ekans,ekans,17-19,20,,
591,red,kanto-route-8,whole-area,walk,growlithe,growlithe,15-18,20,,
596,red,kanto-route-9,whole-area,walk,rattata,rattata,14-17,40,,
601,red,kanto-route-9,whole-area,walk,spearow,spearow,13-17,35,,
606,red,kanto-route-9,whole-area,walk,ekans,ekans,11-17,25,,
611,red,kanto-route-10,whole-area,walk,voltorb,voltorb,14-17,40,,
616,red,kanto-route-10,whole-area,walk,spearow,spearow,13-17,35,,
621,red,kanto-route-10,whole-area,walk,ekans,ekans,11-17,25,,
626,red,kanto-route-10,whole-area,old-rod,magikarp,magikarp,5,100,,
631,red,kanto-route-10,whole-area,good-rod,poliwag,poliwag,10,50,,
636,red,kanto-route-10,whole-area,good-rod,goldeen,goldeen,10,50,,
641,red,kanto-route-10,whole-area,super-rod,poliwhirl,poliwhirl,23,50,,
646,red,kanto-route-10,whole-area,super-rod,slowpoke,slowpoke,15,50,,
651,red,kanto-route-11,whole-area,walk,ekans,ekans,12-15,40,,
656,red,kanto-route-11,whole-area,walk,spearow,spearow,13-17,35,,
661,red,kanto-route-11,whole-area,walk,drowzee,drowzee,9-15,25,,
666,red,kanto-route-11,whole-area,old-rod,magikarp,magikarp,5,100,,
671,red,kanto-route-11,whole-area,good-rod,poliwag,poliwag,10,50,,
676,red,kanto-route-11,whole-area,good-rod,goldeen,goldeen,10,50,,
681,red,kanto-route-11,whole-area,super-rod,shellder,shellder,15,50,,
686,red,kanto-route-11,whole-area,super-rod,krabby,krabby,15,50,,
691,red,kanto-route-12,whole-area,walk,pidgey,pidgey,23-27,40,,
696,red,kanto-route-12,whole-area,walk,oddish,oddish,22-26,35,,
701,red,kanto-route-12,whole-area,walk,venonat,venonat,24-26,20,,
706,red,kanto-route-12,whole-area,walk,gloom,gloom,28-30,5,,
711,red,kanto-route-12,whole-area,old-rod,magikarp,magikarp,5,100,,
716,red,kanto-route-12,whole-area,good-rod,poliwag,poliwag,10,50,,
721,red,kanto-route-12,whole-area,good-rod,goldeen,goldeen,10,50,,
726,red,kanto-route-12,whole-area,super-rod,tentacool,tentacool,5,25,,
731,red,kanto-route-12,whole-area,super-rod,krabby,krabby,15,25,,
736,red,kanto-route-12,whole-area,super-rod,goldeen,goldeen,15,25,,
741,red,kanto-route-12,whole-area,super-rod,magikarp,magikarp,15,25,,
746,red,kanto-route-13,whole-area,walk,pidgey,pidgey,25-27,35,,
751,red,kanto-route-13,whole-area,walk,oddish,oddish,22-26,35,,
756,red,kanto-route-13,whole-area,walk,venonat,venonat,24-26,20,,
761,red,kanto-route-13,whole-area,walk,gloom,gloom,28-30,5,,
766,red,kanto-route-13,whole-area,walk,ditto,ditto,25,5,,
771,red,kanto-route-13,whole-area,old-rod,magikarp,magikarp,5,100,,
776,red,kanto-route-13,whole-area,good-rod,poliwag,poliwag,10,50,,
781,red,kanto-route-13,whole-area,good-rod,goldeen,goldeen,10,50,,
786,red,kanto-route-13,whole-area,super-rod,tentacool,tentacool,5,25,,
791,red,kanto-route-13,whole-area,super-rod,krabby,krabby,15,25,,
796,red,kanto-route-13,whole-area,super-rod,goldeen,goldeen,15,25,,
801,red,kanto-route-13,whole-area,super-rod,magikarp,magikarp,15,25,,
806,red,kanto-route-14,whole-area,walk,oddish,oddish,22-26,35,,
811,red,kanto-route-14,whole-area,walk,pidgey,pidgey,26,20,,
816,red,kanto-route-14,whole-area,walk,venonat,venonat,24-26,20,,
821,red,kanto-route-14,whole-area,walk,ditto,ditto,23,15,,
826,red,kanto-route-14,whole-area,walk,pidgeotto,pidgeotto,28-30,5,,
831,red,kanto-route-14,whole-area,walk,gloom,gloom,30,5,,
836,red,kanto-route-15,whole-area,walk,oddish,oddish,22-26,35,,
841,red,kanto-route-15,whole-area,walk,venonat,venonat,26-28,20,,
846,red,kanto-route-15,whole-area,walk,ditto,ditto,26,20,,
851,red,kanto-route-15,whole-area,walk,pidgey,pidgey,23,15,,
856,red,kanto-route-15,whole-area,walk,pidgeotto,pidgeotto,28-30,5,,
861,red,kanto-route-15,whole-area,walk,gloom,gloom,30,5,,
866,red,kanto-route-16,whole-area,walk,spearow,spearow,20-22,40,,
871,red,kanto-route-16,whole-area,walk,rattata,rattata,18-22,30,,
876,red,kanto-route-16,whole-area,walk,doduo,doduo,18-22,25,,
881,red,kanto-route-16,whole-area,walk,raticate,raticate,23-25,5,,
886,red,kanto-route-17,whole-area,walk,spearow,spearow,20-22,40,,
891,red,kanto-route-17,whole-area,walk,raticate,raticate,25-29,30,,
896,red,kanto-route-17,whole-area,walk,doduo,doduo,24-28,25,,
901,red,kanto-route-17,whole-area,walk,fearow,fearow,25-27,5,,
906,red,kanto-route-17,whole-area,old-rod,magikarp,magikarp,5,100,,
911,red,kanto-route-17,whole-area,good-rod,poliwag,poliwag,10,50,,
916,red,kanto-route-17,whole-area,good-rod,goldeen,goldeen,10,50,,
921,red,kanto-route-17,whole-area,super-rod,tentacool,tentacool,5,25,,
926,red,kanto-route-17,whole-area,super-rod,krabby,krabby,15,25,,
931,red,kanto-route-17,whole-area,super-rod,goldeen,goldeen,15,25,,
936,red,kanto-route-17,whole-area,super-rod,magikarp,magikarp,15,25,,
941,red,kanto-route-18,whole-area,walk,spearow,spearow,20-22,40,,
946,red,kanto-route-18,whole-area,walk,doduo,doduo,24-28,25,,
951,red,kanto-route-18,whole-area,walk,raticate,raticate,25-29,20,,
956,red,kanto-route-18,whole-area,walk,fearow,fearow,25-29,15,,
961,red,kanto-route-18,whole-area,old-rod,magikarp,magikarp,5,100,,
966,red,kanto-route-18,whole-area,good-rod,poliwag,poliwag,10,50,,
971,red,kanto-route-18,whole-area,good-rod,goldeen,goldeen,10,50,,
976,red,kanto-route-18,whole-area,super-rod,tentacool,tentacool,5,25,,
981,red,kanto-route-18,whole-area,super-rod,krabby,krabby,15,25,,
986,red,kanto-route-18,whole-area,super-rod,goldeen,goldeen,15,25,,
991,red,kanto-route-18,whole-area,super-rod,magikarp,magikarp,15,25,,
996,red,kanto-route-19,whole-area,old-rod,magikarp,magikarp,5,100,,
1001,red,kanto-route-19,whole-area,good-rod,poliwag,poliwag,10,50,,
1006,red,kanto-route-19,whole-area,good-rod,goldeen,goldeen,10,50,,
1011,red,kanto-route-19,whole-area,super-rod,shellder,shellder,15,25,,
1016,red,kanto-route-19,whole-area,super-rod,horsea,horsea,15,25,,
1021,red,kanto-route-19,whole-area,super-rod,goldeen,goldeen,15,25,,
1026,red,kanto-route-19,whole-area,super-rod,staryu,staryu,15,25,,
1031,red,kanto-route-19,whole-area,surf,tentacool,tentacool,5-40,100,,
1036,red,kanto-route-20,whole-area,old-rod,magikarp,magikarp,5,100,,
1041,red,kanto-route-20,whole-area,good-rod,poliwag,poliwag,10,50,,
1046,red,kanto-route-20,whole-area,good-rod,goldeen,goldeen,10,50,,
1051,red,kanto-route-20,whole-area,super-rod,shellder,shellder,15,25,,
1056,red,kanto-route-20,whole-area,super-rod,horsea,horsea,15,25,,
1061,red,kanto-route-20,whole-area,super-rod,goldeen,goldeen,15,25,,
1066,red,kanto-route-20,whole-area,super-rod,staryu,staryu,15,25,,
1071,red,kanto-route-20,whole-area,surf,tentacool,tentacool,5-40,100,,
1076,red,kanto-route-21,whole-area,walk,pidgey,pidgey,21-23,30,,
1081,red,kanto-route-21,whole-area,walk,rattata,rattata,21-23,30,,
1086,red,kanto-route-21,whole-area,walk,pidgeotto,pidgeotto,30-32,15,,
1091,red,kanto-route-21,whole-area,walk,raticate,raticate,30,15,,
1096,red,kanto-route-21,whole-area,walk,tangela,tangela,28-32,10,,
1101,red,kanto-route-21,whole-area,old-rod,magikarp,magikarp,5,100,,
1106,red,kanto-route-21,whole-area,good-rod,poliwag,poliwag,10,50,,
1111,red,kanto-route-21,whole-area,good-rod,goldeen,goldeen,10,50,,
1116,red,kanto-route-21,whole-area,super-rod,shellder,shellder,15,25,,
1121,red,kanto-route-21,whole-area,super-rod,horsea,horsea,15,25,,
1126,red,kanto-route-21,whole-area,super-rod,goldeen,goldeen,15,25,,
1131,red,kanto-route-21,whole-area,super-rod,staryu,staryu,15,25,,
1136,red,kanto-route-21,whole-area,surf,tentacool,tentacool,5-40,100,,
1141,red,kanto-route-22,whole-area,walk,rattata,rattata,2-4,45,,
1146,red,kanto-route-22,whole-area,walk,nidoran-m,nidoran-m,2-4,40,,
1151,red,kanto-route-22,whole-area,walk,spearow,spearow,3-5,10,,
1156,red,kanto-route-22,whole-area,walk,nidoran-f,nidoran-f,3-4,5,,
1161,red,kanto-route-22,whole-area,old-rod,magikarp,magikarp,5,100,,
1166,red,kanto-route-22,whole-area,good-rod,poliwag,poliwag,10,50,,
1171,red,kanto-route-22,whole-area,good-rod,goldeen,goldeen,10,50,,
1176,red,kanto-route-22,whole-area,super-rod,poliwag,poliwag,15,50,,
1181,red,kanto-route-22,whole-area,super-rod,goldeen,goldeen,15,50,,
1186,red,kanto-route-23,whole-area,walk,ditto,ditto,33-43,35,,
1191,red,kanto-route-23,whole-area,walk,fearow,fearow,38-43,25,,
1196,red,kanto-route-23,whole-area,walk,ekans,ekans,26,20,,
1201,red,kanto-route-23,whole-area,walk,spearow,spearow,26,15,,
1206,red,kanto-route-23,whole-area,walk,arbok,arbok,41,5,,
1211,red,kanto-route-23,whole-area,old-rod,magikarp,magikarp,5,100,,
1216,red,kanto-route-23,whole-area,good-rod,poliwag,poliwag,10,50,,
1221,red,kanto-route-23,whole-area,good-rod,goldeen,goldeen,10,50,,
1226,red,kanto-route-23,whole-area,super-rod,slowbro,slowbro,23,25,,
1231,red,kanto-route-23,whole-area,super-rod,kingler,kingler,23,25,,
1236,red,kanto-route-23,whole-area,super-rod,seadra,seadra,23,25,,
1241,red,kanto-route-23,whole-area,super-rod,seaking,seaking,23,25,,
1246,red,kanto-route-24,whole-area,walk,oddish,oddish,12-14,25,,
1251,red,kanto-route-24,whole-area,walk,weedle,weedle,7,20,,
1256,red,kanto-route-24,whole-area,walk,kakuna,kakuna,8,20,,
1261,red,kanto-route-24,whole-area,walk,pidgey,pidgey,12-13,20,,
1266,red,kanto-route-24,whole-area,walk,abra,abra,8-12,15,,
1271,red,kanto-route-24,whole-area,old-rod,magikarp,magikarp,5,100,,
1276,red,kanto-route-24,whole-area,good-rod,poliwag,poliwag,10,50,,
1281,red,kanto-route-24,whole-area,good-rod,goldeen,goldeen,10,50,,
1286,red,kanto-route-24,whole-area,super-rod,psyduck,psyduck,15,33,,
1291,red,kanto-route-24,whole-area,super-rod,krabby,krabby,15,33,,
1296,red,kanto-route-24,whole-area,super-rod,goldeen,goldeen,15,33,,
1301,red,kanto-route-25,whole-area,walk,oddish,oddish,12-14,25,,
1306,red,kanto-route-25,whole-area,walk,weedle,weedle,8,20,,
1311,red,kanto-route-25,whole-area,walk,kakuna,kakuna,9,20,,
1316,red,kanto-route-25,whole-area,walk,pidgey,pidgey,13,15,,
1321,red,kanto-route-25,whole-area,walk,abra,abra,10-12,15,,
1326,red,kanto-route-25,whole-area,walk,metapod,metapod,7,4,,
1331,red,kanto-route-25,whole-area,walk,caterpie,caterpie,8,1,,
1336,red,kanto-route-25,whole-area,old-rod,magikarp,magikarp,5,100,,
1341,red,kanto-route-25,whole-area,good-rod,poliwag,poliwag,10,50,,
1346,red,kanto-route-25,whole-area,good-rod,goldeen,goldeen,10,50,,
1351,red,kanto-route-25,whole-area,super-rod,psyduck,psyduck,15,33,,
1356,red,kanto-route-25,whole-area,super-rod,krabby,krabby,15,33,,
1361,red,kanto-route-25,whole-area,super-rod,goldeen,goldeen,15,33,,
1366,red,mt-moon,1f,walk,zubat,zubat,6-11,79,,
1371,red,mt-moon,1f,walk,geodude,geodude,8-10,15,,
1376,red,mt-moon,1f,walk,paras,paras,8,5,,
1381,red,mt-moon,1f,walk,clefairy,clefairy,8,1,,
1386,red,mt-moon,b1f,walk,zubat,zubat,7-11,60,,
1391,red,mt-moon,b1f,walk,geodude,geodude,7-9,26,,
1396,red,mt-moon,b1f,walk,paras,paras,10,10,,
1401,red,mt-moon,b1f,walk,clefairy,clefairy,9,4,,
1406,red,mt-moon,b2f,walk,zubat,zubat,9-12,49,,
1411,red,mt-moon,b2f,walk,geodude,geodude,9-10,30,,
1416,red,mt-moon,b2f,walk,paras,paras,10-12,15,,
1421,red,mt-moon,b2f,walk,clefairy,clefairy,10-12,6,,
1426,red,pallet-town,whole-area,old-rod,magikarp,magikarp,5,100,,
1431,red,pallet-town,whole-area,good-rod,poliwag,poliwag,10,50,,
1436,red,pallet-town,whole-area,good-rod,goldeen,goldeen,10,50,,
1441,red,pallet-town,whole-area,super-rod,poliwag,poliwag,15,50,,
1446,red,pallet-town,whole-area,super-rod,tentacool,tentacool,15,50,,
1451,red,pallet-town,whole-area,gift,bulbasaur,bulbasaur,5,,,
1456,red,pallet-town,whole-area,gift,charmander,charmander,5,,,
1461,red,pallet-town,whole-area,gift,squirtle,squirtle,5,,,
1466,red,pokemon-mansion,1f,walk,ponyta,ponyta,28-34,40,,
1471,red,pokemon-mansion,1f,walk,koffing,koffing,30-32,40,,
1476,red,pokemon-mansion,1f,walk,growlithe,growlithe,34,10,,
1481,red,pokemon-mansion,1f,walk,grimer,grimer,30,5,,
1486,red,pokemon-mansion,1f,walk,weezing,weezing,37,4,,
1491,red,pokemon-mansion,1f,walk,muk,muk,39,1,,
1496,red,pokemon-mansion,2f,walk,koffing,koffing,30-34,45,,
1501,red,pokemon-mansion,2f,walk,ponyta,ponyta,28-32,25,,
1506,red,pokemon-mansion,2f,walk,growlithe,growlithe,32,20,,
1511,red,pokemon-mansion,2f,walk,grimer,grimer,30,5,,
1516,red,pokemon-mansion,2f,walk,weezing,weezing,39,4,,
1521,red,pokemon-mansion,2f,walk,muk,muk,37,1,,
1526,red,pokemon-mansion,3f,walk,koffing,koffing,31-35,35,,
1531,red,pokemon-mansion,3f,walk,ponyta,ponyta,32-36,24,,
1536,red,pokemon-mansion,3f,walk,growlithe,growlithe,33,20,,
1541,red,pokemon-mansion,3f,walk,weezing,weezing,38-40,15,,
1546,red,pokemon-mansion,3f,walk,grimer,grimer,34,5,,
1551,red,pokemon-mansion,3f,walk,muk,muk,42,1,,
1556,red,pokemon-mansion,b1f,walk,koffing,koffing,31-33,50,,
1561,red,pokemon-mansion,b1f,walk,growlithe,growlithe,35,15,,
1566,red,pokemon-mansion,b1f,walk,ponyta,ponyta,32-34,15,,
1571,red,pokemon-mansion,b1f,walk,weezing,weezing,40-42,14,,
1576,red,pokemon-mansion,b1f,walk,grimer,grimer,35,5,,
1581,red,pokemon-mansion,b1f,walk,muk,muk,42,1,,
1586,red,pokemon-tower,3f,walk,gastly,gastly,18-24,90,,
1591,red,pokemon-tower,3f,walk,cubone,cubone,20-22,9,,
1596,red,pokemon-tower,3f,walk,haunter,haunter,25,1,,
1601,red,pokemon-tower,4f,walk,gastly,gastly,18-24,86,,
1606,red,pokemon-tower,4f,walk,cubone,cubone,20-22,9,,
1611,red,pokemon-tower,4f,walk,haunter,haunter,25,5,,
1616,red,pokemon-tower,5f,walk,gastly,gastly,18-24,86,,
1621,red,pokemon-tower,5f,walk,cubone,cubone,20-22,9,,
1626,red,pokemon-tower,5f,walk,haunter,haunter,25,5,,
1631,red,pokemon-tower,6f,walk,gastly,gastly,19-24,85,,
1636,red,pokemon-tower,6f,walk,cubone,cubone,22-24,9,,
1641,red,pokemon-tower,6f,walk,haunter,haunter,26-28,6,,
1646,red,pokemon-tower,7f,walk,gastly,gastly,20-24,75,,
1651,red,pokemon-tower,7f,walk,haunter,haunter,28-30,15,,
1656,red,pokemon-tower,7f,walk,cubone,cubone,22-24,10,,
1661,red,power-plant,whole-area,walk,magnemite,magnemite,21-23,30,,
1666,red,power-plant,whole-area,walk,voltorb,voltorb,21-23,30,,
1671,red,power-plant,whole-area,walk,pikachu,pikachu,20-24,25,,
1676,red,power-plant,whole-area,walk,magneton,magneton,32-35,10,,
1681,red,power-plant,whole-area,walk,electabuzz,electabuzz,33-36,5,,
1686,red,rock-tunnel,b1f,walk,zubat,zubat,15-18,55,,
1691,red,rock-tunnel,b1f,walk,geodude,geodude,16-17,25,,
1696,red,rock-tunnel,b1f,walk,machop,machop,15-17,15,,
1701,red,rock-tunnel,b1f,walk,onix,onix,13-15,5,,
1706,red,rock-tunnel,b2f,walk,zubat,zubat,16-18,50,,
1711,red,rock-tunnel,b2f,walk,geodude,geodude,16-18,26,,
1716,red,rock-tunnel,b2f,walk,machop,machop,15-17,15,,
1721,red,rock-tunnel,b2f,walk,onix,onix,13-17,9,,
1726,red,safari-zone,area-1-east,walk,nidoran-m,nidoran-m,24,20,,
1731,red,safari-zone,area-1-east,walk,doduo,doduo,26,20,,
1736,red,safari-zone,area-1-east,walk,exeggcute,exeggcute,23-25,20,,
1741,red,safari-zone,area-1-east,walk,paras,paras,22,15,,
1746,red,safari-zone,area-1-east,walk,nidorino,nidorino,33,10,,
1751,red,safari-zone,area-1-east,walk,nidoran-f,nidoran-f,24,5,,
1756,red,safari-zone,area-1-east,walk,parasect,parasect,25,5,,
1761,red,safari-zone,area-1-east,walk,kangaskhan,kangaskhan,25,4,,
1766,red,safari-zone,area-1-east,walk,scyther,scyther,28,1,,
1771,red,safari-zone,area-1-east,old-rod,magikarp,magikarp,5,100,,
1776,red,safari-zone,area-1-east,good-rod,poliwag,poliwag,10,50,,
1781,red,safari-zone,area-1-east,good-rod,goldeen,goldeen,10,50,,
1786,red,safari-zone,area-1-east,super-rod,psyduck,psyduck,15,25,,
1791,red,safari-zone,area-1-east,super-rod,slowpoke,slowpoke,15,25,,
1796,red,safari-zone,area-1-east,super-rod,krabby,krabby,15,25,,
1801,red,safari-zone,area-1-east,super-rod,dratini,dratini,15,25,,
1806,red,safari-zone,area-2-north,walk,nidoran-m,nidoran-m,22,20,,
1811,red,safari-zone,area-2-north,walk,exeggcute,exeggcute,25-27,20,,
1816,red,safari-zone,area-2-north,walk,rhyhorn,rhyhorn,26,20,,
1821,red,safari-zone,area-2-north,walk,paras,paras,23,15,,
1826,red,safari-zone,area-2-north,walk,nidorino,nidorino,30,10,,
1831,red,safari-zone,area-2-north,walk,nidorina,nidorina,30,5,,
1836,red,safari-zone,area-2-north,walk,venomoth,venomoth,32,5,,
1841,red,safari-zone,area-2-north,walk,chansey,chansey,26,4,,
1846,red,safari-zone,area-2-north,walk,tauros,tauros,28,1,,
1851,red,safari-zone,area-2-north,old-rod,magikarp,magikarp,5,100,,
1856,red,safari-zone,area-2-north,good-rod,poliwag,poliwag,10,50,,
1861,red,safari-zone,area-2-north,good-rod,goldeen,goldeen,10,50,,
1866,red,safari-zone,area-2-north,super-rod,psyduck,psyduck,15,25,,
1871,red,safari-zone,area-2-north,super-rod,slowpoke,slowpoke,15,25,,
1876,red,safari-zone,area-2-north,super-rod,krabby,krabby,15,25,,
1881,red,safari-zone,area-2-north,super-rod,dratini,dratini,15,25,,
1886,red,safari-zone,area-3-west,walk,nidoran-m,nidoran-m,25,20,,
1891,red,safari-zone,area-3-west,walk,doduo,doduo,26,20,,
1896,red,safari-zone,area-3-west,walk,exeggcute,exeggcute,24-26,20,,
1901,red,safari-zone,area-3-west,walk,venonat,venonat,23,15,,
1906,red,safari-zone,area-3-west,walk,nidorino,nidorino,33,10,,
